scenario,total_gpus,gpus_per_node,pp,microbatches,ep_size,variant,latency_label,reconfig_time_ns,wall_min_ns,wall_max_ns,wall_avg_ns,status,output_path
large_scale_ep_8gpu_256_all2allv_topk_context,256,8,4,4,1,eps,none,0,57957773380,99641831118,78800349624,ok,/workspace/astra-sim-opus/examples/large_scale_ep_8gpu_256_all2allv_topk_context/runs/ep_001/eps/output.txt
large_scale_ep_8gpu_256_all2allv_topk_context,256,8,4,4,1,eps_fc,none,0,31392227208,53223914830,42308344706,ok,/workspace/astra-sim-opus/examples/large_scale_ep_8gpu_256_all2allv_topk_context/runs/ep_001/eps_fc/output.txt
large_scale_ep_8gpu_256_all2allv_topk_context,256,8,4,4,1,opus_diverge,500us,500000,55089645521,76942653544,66019048220,ok,/Opus/simulation/reconfig_backend/examples/large_scale_ep_8gpu_256_all2allv_topk_context/runs/ep_001/opus_diverge/log/output_bounded_base_500us.txt
large_scale_ep_8gpu_256_all2allv_topk_context,256,8,4,4,1,opus_diverge,1ms,1000000,55104645521,76957653544,66034048220,ok,/Opus/simulation/reconfig_backend/examples/large_scale_ep_8gpu_256_all2allv_topk_context/runs/ep_001/opus_diverge/log/output_bounded_base_500us.txt
large_scale_ep_8gpu_256_all2allv_topk_context,256,8,4,4,1,opus_diverge,10ms,10000000,55374645521,77227653544,66304048220,ok,/Opus/simulation/reconfig_backend/examples/large_scale_ep_8gpu_256_all2allv_topk_context/runs/ep_001/opus_diverge/log/output_bounded_base_500us.txt
large_scale_ep_8gpu_256_all2allv_topk_context,256,8,4,4,1,opus_diverge,50ms,50000000,56574645521,78427653544,67504048220,ok,/Opus/simulation/reconfig_backend/examples/large_scale_ep_8gpu_256_all2allv_topk_context/runs/ep_001/opus_diverge/log/output_bounded_base_500us.txt
large_scale_ep_8gpu_256_all2allv_topk_context,256,8,4,4,1,opus_diverge,100ms,100000000,58074645521,79927653544,69004048220,ok,/Opus/simulation/reconfig_backend/examples/large_scale_ep_8gpu_256_all2allv_topk_context/runs/ep_001/opus_diverge/log/output_bounded_base_500us.txt
large_scale_ep_8gpu_256_all2allv_topk_context,256,8,4,4,1,opus_same,500us,500000,55089645521,76942653544,66019048220,ok,/workspace/astra-sim-opus/examples/large_scale_ep_8gpu_256_all2allv_topk_context/runs/ep_001/opus_same/log/output_bounded_base_500us.txt
large_scale_ep_8gpu_256_all2allv_topk_context,256,8,4,4,1,opus_same,1ms,1000000,55104645521,76957653544,66034048220,ok,/workspace/astra-sim-opus/examples/large_scale_ep_8gpu_256_all2allv_topk_context/runs/ep_001/opus_same/log/output_bounded_base_500us.txt
large_scale_ep_8gpu_256_all2allv_topk_context,256,8,4,4,1,opus_same,10ms,10000000,55374645521,77227653544,66304048220,ok,/workspace/astra-sim-opus/examples/large_scale_ep_8gpu_256_all2allv_topk_context/runs/ep_001/opus_same/log/output_bounded_base_500us.txt
large_scale_ep_8gpu_256_all2allv_topk_context,256,8,4,4,1,opus_same,50ms,50000000,56574645521,78427653544,67504048220,ok,/workspace/astra-sim-opus/examples/large_scale_ep_8gpu_256_all2allv_topk_context/runs/ep_001/opus_same/log/output_bounded_base_500us.txt
large_scale_ep_8gpu_256_all2allv_topk_context,256,8,4,4,1,opus_same,100ms,100000000,58074645521,79927653544,69004048220,ok,/workspace/astra-sim-opus/examples/large_scale_ep_8gpu_256_all2allv_topk_context/runs/ep_001/opus_same/log/output_bounded_base_500us.txt
large_scale_ep_8gpu_256_all2allv_topk_context,256,8,4,4,2,eps,none,0,29097767000,49951407790,39525134770,ok,/workspace/astra-sim-opus/examples/large_scale_ep_8gpu_256_all2allv_topk_context/runs/ep_002/eps/output.txt
large_scale_ep_8gpu_256_all2allv_topk_context,256,8,4,4,2,eps_fc,none,0,15762220828,26685991502,21224379852,ok,/workspace/astra-sim-opus/examples/large_scale_ep_8gpu_256_all2allv_topk_context/runs/ep_002/eps_fc/output.txt
large_scale_ep_8gpu_256_all2allv_topk_context,256,8,4,4,2,opus_diverge,500us,500000,27776150653,38721277008,33251612518,ok,/Opus/simulation/reconfig_backend/examples/large_scale_ep_8gpu_256_all2allv_topk_context/runs/ep_002/opus_diverge/log/output_bounded_base_500us.txt
large_scale_ep_8gpu_256_all2allv_topk_context,256,8,4,4,2,opus_diverge,1ms,1000000,27791150653,38736277008,33266612518,ok,/Opus/simulation/reconfig_backend/examples/large_scale_ep_8gpu_256_all2allv_topk_context/runs/ep_002/opus_diverge/log/output_bounded_base_500us.txt
large_scale_ep_8gpu_256_all2allv_topk_context,256,8,4,4,2,opus_diverge,10ms,10000000,28061150653,39006277008,33536612518,ok,/Opus/simulation/reconfig_backend/examples/large_scale_ep_8gpu_256_all2allv_topk_context/runs/ep_002/opus_diverge/log/output_bounded_base_500us.txt
large_scale_ep_8gpu_256_all2allv_topk_context,256,8,4,4,2,opus_diverge,50ms,50000000,29261150653,40206277008,34736612518,ok,/Opus/simulation/reconfig_backend/examples/large_scale_ep_8gpu_256_all2allv_topk_context/runs/ep_002/opus_diverge/log/output_bounded_base_500us.txt
